basename,yield,solvent1,solvent2,solvent3,solvent4,solvent5,sol_molratio1,sol_molratio2,sol_molratio3,sol_molratio4,sol_molratio5,additive1,additive2,additive3,additive4,additive5,temperature_Celsius,time_h,core_All_Metals,counterions1,counterions2,counterions3,linker_1,linker_2
OYIVEY,54.0,CN(C)C=O,CCO,,,,0.531,0.469,,,,,,,,,85,96,Cu,NO3,,,,
USOXEH,65.0,CN(C)C=O,O,CO,,,0.245,0.523,0.232,,,CC(=O)O,,,,,85,96,"Cu,Zn",NO3|I,OAc,,C1=C[N]C=N1,C1=N[CH]C=N1
MURBEI,,CCN(CC)C=O,,,,,1.0,,,,,[N+](=O)(O)[O-],,,,,85,120,In,NO3,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
KUNMUD,63.0,CO,O,,,,0.4,0.6,,,,,,,,,90,72,Cd,BF4,,,Nn1c(nnc1c1cccc(c1)c1ccncc1)c1cccc(c1)c1ccncc1,
UKOLOV,55.0,CN(C)C=O,CCO,O,,,0.417,0.138,0.445,,,,,,,,90,20,Zn,NO3,,,,
BINROH,71.0,CCN(CC)C=O,O,,,,0.619,0.381,,,,Cl,,,,,90,24,Cu,NO3,,,[O-]C(=O)c1ccc2c(c1)ccc(c2)c1cc(cc(c1)c1ccc2c(c1)ccc(c2)C(=O)[O-])c1ccc2c(c1)ccc(c2)C(=O)[O-],
DINNIZ,30.0,CN(C)C=O,CCO,,,,0.43,0.57,,,,,,,,,90,24,Mn,Cl,,,[O-]C(=O)CCCCC(=O)[O-],
FECYIX,10.5,O,,,,,1.0,,,,,,,,,,90,24,Co,Cl,,,[O-]C(=O)C1SCC(N1)C(=O)[O-],
FIGQUJ,39.0,O,,,,,1.0,,,,,,,,,,90,24,Cu,NO3,,,O=C(c1ccncc1)Nc1cccnc1,[O-]C(=O)CCCC(=O)[O-]
IZEFEZ,62.0,CN(C)C=O,CCO,,,,0.43,0.57,,,,OCl(=O)(=O)=O,,,,,90,24,Cd,NO3,,,Oc1c2cc(cc1Cc1cc([N][N]c3cccc(c3)C(=O)[O-])cc(c1O)Cc1c(c(Cc3c(c(C2)cc([N][N]c2cccc(c2)C(=O)[O-])c3)O)cc(c1)[N][N]c1cccc(c1)C(=O)[O-])O)[N][N]c1cccc(c1)C(=O)[O-],
PUWDOA,,CN(C)C=O,CCO,O,,,0.267,0.354,0.38,,,,,,,,90,24,Zn,NO3,,,[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)[O-],
UWUTIQ,82.0,CN(C)C=O,,,,,1.0,,,,,,,,,,90,24,Zn,NO3,,,[O-]C(=O)c1ccc(cc1)C(=O)[O-],[O-]C(=O)c1ccc(cc1)c1ccncc1
UXUYUI,,CO,,,,,1.0,,,,,,,,,,120,24,Li,tert-BuO,,,[O]c1ccncc1,
VIDJID,18.0,CN(C)C=O,CCO,O,,,0.655,0.261,0.084,,,,,,,,90,24,Co,NO3,,,,
HISGIB,38.17,CN(C)C=O,CCO,O,,,0.503,0.19,0.307,,,,,,,,90,48,Cs,Cl,,,[O-]C(=O)c1ccc(cc1)S(=O)(=O)c1ccc(cc1)C(=O)[O-],
OMUSAS,,CN(C)C=O,CO,,,,0.946,0.054,,,,,,,,,90,48,Zn,NO3,,,[C][C]C1([C][C])C2=[C]C(=[C][C]=C2c2c1c1C3=C(C(c1c1c2C([C][C])([C][C])C2=C1[C]=[C]C(=[C]2)C1=[C][C]=C([C]=[C]1)C(=O)[O-])([C][C])[C][C])[C]=C([C]=[C]3)C1=[C][C]=C([C]=[C]1)C(=O)[O-])C1=[C][C]=C([C]=[C]1)C(=O)[O-],[C][C]C1([C][C])C2=[C]C(=[C][C]=C2c2c1c1C3=[C][C]=C([C]=C3C(c1c1c2C([C][C])([C][C])C2=C1[C]=[C]C(=[C]2)C1=[C][C]=C([C]=[C]1)C(=O)[O-])([C][C])[C][C])C1=[C][C]=C([C]=[C]1)C(=O)[O-])C1=[C][C]=C([C]=[C]1)C(=O)[O-]
ROTQIC,70.0,CN(C)C=O,CCO,,,,0.43,0.57,,,,,,,,,90,48,Zn,NO3,,,C[C](n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)[C](C(=O)[O-])C)C(=O)[O-],
SUKMAO,60.0,CN(C)C=O,CO,O,,,0.537,0.34,0.122,,,Cl,,,,,90,48,Cu,NO3,,,,
TAPHOJ,46.0,O,,,,,1.0,,,,,[OH-].[Na+],,,,,90,48,Zn,NO3,,,[O-]C(=O)c1cc(cc(c1)S([O])([O])[O])C(=O)[O-],n1ccc(cc1)C[NH]1CCN(CC1)Cc1ccncc1
TOHMIO,54.0,CN(C)C=O,CS(=O)C,,,,0.821,0.179,,,,,,,,,90,48,Eu,Cl,,,,
XOTSEG,50.0,CN(C)C=O,,,,,1.0,,,,,,,,,,90,48,Mn,Cl,,,[O-]C(=O)c1ccc(cc1)C#Cc1c(C)c(C#Cc2ccc(cc2)C(=O)[O-])c(c(c1C)C#Cc1ccc(cc1)C(=O)[O-])C,
QOJKAB,26.0,O,,,,,1.0,,,,,,,,,,90,68,Zn,O,,,[O-]C(=O)[O-],
AVESOL,65.0,CN(C)C=O,O,,,,0.539,0.461,,,,Cl,,,,,90,72,Zn,NO3,,,[O-]C(=O)c1cc(cc(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
AVETAY,70.0,CN(C)C=O,O,,,,0.539,0.461,,,,Cl,,,,,90,72,Zn,NO3,,,,
AVETEC,58.0,CN(C)C=O,O,,,,0.539,0.461,,,,Cl,,,,,90,72,Cd,NO3,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C1=C(C=[C][C]=C1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C1=C[C]=[C]C=C1c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
BUCWAZ,69.0,CC(=O)N(C)C,O,,,,0.226,0.774,,,,,,,,,90,72,Cd,NO3,,,[O-]C(=O)c1cc(COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)COc1cc(cc(c1)C(=O)[O-])C(=O)[O-],
GALCAZ,43.0,CN(C)C=O,CCO,,,,0.601,0.399,,,,CCN(CC)CC,,,,,90,72,Zn,NO3,,,[O-]C(=O)c1ccc(nc1)c1ccncc1,
LASWIN,47.0,CN(C)C=O,,,,,1.0,,,,,,,,,,90,72,Co,NO3,,,[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-],n1ccc(cc1)c1ccncc1
OKIPOO,66.0,CN(C)C=O,O,,,,0.412,0.588,,,,,,,,,90,72,Co,NO3,,,C1=CN([CH][N]1)c1ccc(cc1)Oc1ccc(cc1)n1ccnc1,[O-]C(=O)c1ccc(cc1)C(=O)[O-]
OKIPUU,76.0,CN(C)C=O,O,,,,0.412,0.588,,,,,,,,,90,72,Cd,NO3,,,[O-]C(=O)c1ccc(cc1)C(=O)[O-],c1ncn(c1)c1ccc(cc1)Oc1ccc(cc1)n1cncc1
REYPES,32.0,O,,,,,1.0,,,,,,,,,,90,72,Zn,OAc,,,,
VAXVEX,,O,CO,,,,0.871,0.129,,,,,,,,,90,72,Cd,ClO4,,,n1ncn(c1)c1ccc(cc1)CCc1ccc(cc1)n1cnnc1,
WUSLED,48.5,CN(C)C=O,O,,,,0.26,0.74,,,,,,,,,90,72,U,NO3|O,,,[O-]C(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],
XOLGEM,40.0,O,CN(C)C=O,,,,0.81,0.19,,,,N,CCN(CC)CC,,,,90,72,"Li,Co",,OAc,,,
OWUWUA,23.0,CN(C)C=O,O,,,,0.319,0.681,,,,,,,,,90,96,"Na,Fe,Zn",Cl,Cl,Cl,[O]c1c(C=NCCN=Cc2cc(OCc3cc(cc(c3)C(=O)[O-])C(=O)[O-])cc(c2[O])C(C)(C)C)cc(cc1C(C)(C)C)OCc1cc(cc(c1)C(=O)[O-])C(=O)[O-],
IKUTIT,31.0,CN(C)C=O,,,,,1.0,,,,,,,,,,95,24,Dy,NO3,,,[O-]C(=O)c1cc(N)c(cc1N)C(=O)[O-],
IKUTOZ,45.0,CN(C)C=O,,,,,1.0,,,,,,,,,,95,24,Dy,NO3,,,[O-]C(=O)c1c2ccccc2c(c2c1cccc2)C(=O)[O-],[O-]C(=O)c1cc(N)c(cc1N)C(=O)[O-]
IKUTUF,29.0,CN(C)C=O,,,,,1.0,,,,,,,,,,95,24,Dy,NO3,,,N#Cc1cc(cc(c1)C(=O)[O-])C(=O)[O-],
YOZQAG,,CN(C)C=O,O,,,,0.94,0.06,,,,,,,,,95,24,Zn,NO3,,,[O-]C(=O)c1ccc2-c3c(S(=O)(=O)c2c1)cc(cc3)C(=O)[O-],
YOZQEK,,CN(C)C=O,,,,,1.0,,,,,,,,,,95,24,Zn,NO3,,,[O-]C(=O)c1ccc2-c3c(S(=O)(=O)c2c1)cc(cc3)C(=O)[O-],
ACAKUM,,O,,,,,1.0,,,,,,,,,,95,72,La,NO3,,,[O-]C(=O)c1cc(cc(c1)c1nnn(c1)c1cc(cc(c1)C(=O)O)C(=O)[O-])C(=O)[O-],
ACALIB,,O,,,,,1.0,,,,,,,,,,95,72,Er,NO3,,,[O-]C(=O)c1cc(cc(c1)n1nnc(c1)c1cc(cc(c1)C(=O)O)C(=O)[O-])C(=O)[O-],
AJAMEF,67.0,CC(=O)N(C)C,CC#N,O,,,0.087,0.466,0.447,,,,,,,,95,72,Co,NO3,,,[O-]C(=O)C1CCC(CC1)C(=O)[O-],n1cc(cc(c1)c1ccncc1)c1ccncc1
HEDTER,52.0,CN(C)C=O,CC#N,O,,,0.091,0.134,0.775,,,,,,,,95,72,Ni,NO3,,,[O-]C(=O)C1CCC(CC1)C(=O)[O-],n1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)c1ccncc1)c1ccc(cc1)c1ccncc1
MICDEJ,66.0,CN(C)C=O,O,,,,0.412,0.588,,,,,,,,,95,72,Mn,NO3,,,[O-]C(=O)c1cc(cc(c1)Oc1ccc(cc1)C(=O)[O-])Oc1ccc(cc1)C(=O)[O-],
SARNOQ,,CC(=O)N(C)C,,,,,1.0,,,,,,,,,,95,72,Zn,NO3,,,N1=NN=C([N]1)c1n[nH]nc1C1=NN=N[N]1,
ZIDVAL,,O,CN(C)C=O,,,,0.588,0.412,,,,,,,,,95,72,Mn,Cl,,,,
ZOFZUR,,CN(C)C=O,,,,,1.0,,,,,[N+](=O)(O)[O-],,,,,95,72,Mn,NO3,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])N(Cc1ccc(cc1)C(=O)[O-])Cc1ccc(cc1)C(=O)[O-],
BOWZUK,64.0,CN(C)C=O,CO,O,,,0.327,0.207,0.466,,,,,,,,100,12,Zn,NO3,,,c1ncn(c1)c1ccc(cc1)N(c1ccc(cc1)n1cncc1)c1ccc(cc1)n1cncc1,
ANUGIA,82.0,CN(C)C=O,C1COCCO1,O,,,0.436,0.099,0.465,,,Cl,,,,,85,12,Cu,NO3,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],
ANUGOG,55.0,CN1CCCC1=O,C1COCCO1,O,,,0.382,0.108,0.509,,,,,,,,85,24,Cu,NO3,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],
LENKIA,,CN(C)C=O,O,,,,0.824,0.176,,,,,,,,,100,18,Cu,NO3,,,[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-],
VALVAI,,CN(C)C=O,O,,,,0.886,0.114,,,,,,,,,100,20,Yb,Cl,,,[O-]C(=O)c1ccc(cc1)C(=O)[O-],
COJGEO,,CN(C)C=O,O,,,,0.701,0.299,,,,,,,,,100,24,"Cu,Zn",NO3|PyenH2,NO3,,,
DUPJAB,,CN(C)C=O,O,,,,0.539,0.461,,,,,,,,,100,24,Cd,NO3,,,,
EKEKIQ,,CN(C)C=O,O,,,,0.584,0.416,,,,,,,,,100,24,Zn,NO3,,,,
EKEKOW,,CN(C)C=O,CCO,O,,,0.366,0.243,0.391,,,,,,,,100,24,Zn,NO3,,,,
EXOTUH,,CN(C)C=O,,,,,1.0,,,,,,,,,,100,24,Cd,NO3,,,[O-]C(=O)c1cccc(c1c1c(cccc1C(=O)O)C(=O)[O-])C(=O)O,n1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccncc1)c1ccncc1
GUSJOU,43.0,CN(C)C=O,CO,,,,0.441,0.559,,,,,,,,,100,24,"Mn,Ge",Cl,,,[O-]C(=O)CC[Ge]12S[Ge]3(CCC(=O)[O-])S[Ge](S2)(S[Ge](S1)(S3)CCC(=O)[O-])CCC(=O)[O-],
QAMHAQ,,CN(C)C=O,O,,,,0.584,0.416,,,,,,,,,100,24,Zn,NO3,,,,
TILHAZ,50.0,CCO,CN(C)C=O,,,,0.399,0.601,,,,,,,,,100,24,Co,Cl,,,[O-]C(=O)CCCCC(=O)[O-],
YODRAM,88.0,CN(C)C=O,CCO,,,,0.601,0.399,,,,,,,,,100,24,Co,NO3,,,[O-]C(=O)c1ccncc1,
GOBSUM,,CN(C)C=O,CC#N,,,,0.574,0.426,,,,,,,,,100,36,Co,NO3,,,C1CN2CCN1CC2,[O-]C(=O)c1ccc(cc1)C(=O)[O-]
AJAKON,67.8,CC(=O)N(C)C,CCO,O,,,0.229,0.183,0.588,,,[H+].[B-](F)(F)(F)F,,,,,100,40,Cd,NO3,,,[O-]C(=O)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],
DAMZEZ,65.0,CN(C)C=O,,,,,1.0,,,,,[N+](=O)(O)[O-],,,,,100,48,Cd,NO3,,,CCc1nccn1Cc1ccc(cc1)Cn1ccnc1CC,[O-]C(=O)c1cc([N][N]c2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-]
EXEMUR,60.0,CN(C)C=O,C1COCCO1,O,,,0.362,0.329,0.309,,,,,,,,100,48,Cd,Cl,,,[O-]C(=O)c1ccc(cc1)N1[CH]C=C(C=C1)C1=C[CH]N(C=C1)c1ccc(cc1)C(=O)[O-],
GETXAG,63.0,O,,,,,1.0,,,,,[OH-].[Na+],,,,,100,48,Co,NO3,,,Nc1ccc(cc1)C1=NN=N[N]1,
HIHGAI,34.0,CN(C)C=O,,,,,1.0,,,,,Cl,,,,,100,48,"Eu,Si",NO3,,,[O-]C(=O)c1ccc(cc1)[Si](c1ccc(cc1)C(=O)[O-])(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],[O][C](c1ccc(cc1)[Si](c1ccc(cc1)C(=O)[O-])(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)[C]([O])[O])[O]
LAZJIH,78.0,CN(C)C=O,O,,,,0.105,0.895,,,,,,,,,100,48,Zn,NO3,,,[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-],
PASNAA,,O,,,,,1.0,,,,,[OH-].[Na+],,,,,100,48,Co,Cl,,,[O-]C(=O)C1C(C(=O)[O-])C(C(=O)[O-])C(C(C1C(=O)[O-])C(=O)[O-])C(=O)[O-],
PENYOX,75.0,O,,,,,1.0,,,,,,,,,,100,48,V,SO4|O,,,,
PEQTUB,12.0,O,,,,,1.0,,,,,CCN(CC)CC,,,,,100,48,Bi,NO3,,,,
PUWCIT,57.0,CN(C)C=O,CCO,O,,,0.193,0.256,0.551,,,,,,,,100,48,Zn,Cl,,,,
PUZTOV,,O,CN(C)C=O,,,,0.81,0.19,,,,,,,,,100,48,"Ca,Cd",NO3,NO3,,[O-]C(=O)c1ccc(cc1)C(=O)[O-],
QUFKIN,25.0,O,,,,,1.0,,,,,,,,,,100,48,Co,CO3,,,Nc1ncnc2c1nc[nH]2,[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-]
SODQOT,,CC(=O)N(C)C,,,,,1.0,,,,,[N+](=O)(O)[O-],,,,,100,48,Cu,NO3,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
UWOWAF,60.0,CN(C)C=O,CCO,,,,0.398,0.602,,,,,,,,,100,48,Mn,Cl,,,[O-]C(=O)c1ccc(s1)c1ccc(s1)C(=O)[O-],
VOLPET,15.0,CN(C)C=O,CC#N,,,,0.729,0.271,,,,,,,,,100,48,Zn,NO3,,,[O-]C(=O)c1ccc(s1)C(=O)[O-],
XOPLUL,,O,CN(C)C=O,,,,0.588,0.412,,,,,,,,,100,48,Cd,NO3,,,[O-]C(=O)c1ccc(o1)C(=O)[O-],
XUDVAV,48.0,CN(C)C=O,O,,,,0.319,0.681,,,,,,,,,100,48,Co,O,,,,
DUJRAD,,CN(C)C=O,,,,,1.0,,,,,,,,,,100,60,"Cu,Ba",Cl,NO3,,[O-]C(=O)c1ccc(s1)C(=O)[O-],
HIFGIO,56.0,CN(C)C=O,CCO,,,,0.601,0.399,,,,[OH-].[Na+],,,,,100,60,Zn,NO3,,,[O-]C(=O)c1ccc(cc1)c1cc(C)c(cc1C)c1ccc(cc1)C(=O)[O-],
HUTTIA,,CN(C)C=O,,,,,,,,,,,,,,,100,60,Zn,NO3,,,[N]([CH]c1ccncc1)[N][CH]c1ccncc1,[O-]C(=O)c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)C(=O)[O-]
ORUKOD,40.0,CN(C)C=O,CCO,O,,,0.263,0.174,0.562,,,Cl,,,,,100,60,Ba,NO3,,,[O-]C(=O)c1ccc(cc1)O[P]1(Oc2ccc(cc2)C(=O)[O-])[N][P](Oc2ccc(cc2)C(=O)[O-])(Oc2ccc(cc2)C(=O)[O-])[N][P]([N]1)(Oc1ccc(cc1)C(=O)[O-])Oc1ccc(cc1)C(=O)[O-],
AVESUR,69.0,CN(C)C=O,O,,,,0.539,0.461,,,,Cl,,,,,100,72,Cd,NO3,,,[O-]C(=O)c1cc(cc(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
BAFCAP,36.0,CN(C)C=O,O,,,,0.19,0.81,,,,,,,,,100,72,Zn,Cl,,,COc1cc(OCC(=O)[O-])c2cc1C([C])c1cc(c(cc1OCC(=O)O)OC)C(CC)c1cc(C(c3cc(C2CC)c(OC)cc3OCC(=O)[O-])[C][C])c(cc1OCC(=O)[O-])OC,
BURQIQ,60.0,CN(C)C=O,,,,,1.0,,,,,[OH-].[Na+],,,,,100,72,"Cd,Na",Cl,,,[O-]C(=O)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],
CUKXAJ,,CN(C)C=O,O,,,,0.483,0.517,,,,Cl,,,,,100,72,Cd,NO3,,,[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-],
CUKXIR,,CN(C)C=O,O,,,,0.483,0.517,,,,Cl,,,,,100,72,Mn,SO4,,,[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-],
ELOZIQ,65.0,CC(=O)N(C)C,CO,,,,0.539,0.461,,,,,,,,,100,72,Cd,NO3,,,,
GAJVEU,,CN(C)C=O,,,,,1.0,,,,,CCN(CC)CC,,,,,100,72,Zn,NO3,,,[O-]C(=O)c1ccc(cc1)C(=O)[O-],
GAJVIY,,CN(C)C=O,,,,,1.0,,,,,,,,,,100,72,Zn,NO3,,,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-],
HIHGEM,23.0,CN(C)C=O,,,,,1.0,,,,,,,,,,100,72,"Si,Er",,NO3,,[O-]C(=O)c1ccc(cc1)[Si](c1ccc(cc1)C(=O)[O-])(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],[O-]C(=O)c1ccc(cc1)[Si](c1ccc(cc1)[C]1OO1)(c1ccc(cc1)[C]1OO1)c1ccc(cc1)C(=O)[O-]
HOZFEJ,,CO,C1COCCO1,,,,0.677,0.323,,,,,,,,,100,72,Li,OH,,,[O-]C(=O)c1ccc(cc1)NC1=[N]=C(N=C([N]1)Nc1ccc(cc1)C(=O)O)Nc1ccc(cc1)C(=O)O,
HUNFIH,65.0,O,,,,,1.0,,,,,[N+](=O)(O)[O-],,,,,100,72,"Ni,V",Cl,NH4|O,,C(Cc1ccncc1)Cc1ccncc1,
HUNFON,55.0,O,,,,,1.0,,,,,,,,,,100,72,"Zn,V",CH3COO,NH4|O,,C(Cc1ccncc1)Cc1ccncc1,
HUVNAP,31.0,CN(C)C=O,CCO,O,,,0.067,0.357,0.576,,,,,,,,100,72,"Ba,Fe",Cl,Cl,,,
KITCAT,40.0,C1CCOC1,,,,,1.0,,,,,,,,,,100,72,"Ag,K",CN,Ag(CN)2,,,
LAHTUM,45.0,CN(C)C=O,CCO,,,,0.601,0.399,,,,,,,,,100,72,Cd,NO3,,,[O-]C(=O)c1cc(C(=O)[O-])c(cc1c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],n1ccc(cc1)c1ccncc1
LAHVAU,40.0,CN(C)C=O,CCO,,,,0.601,0.399,,,,,,,,,100,72,Cd,NO3,,,[N]c1cnccc1c1ccncc1[N],[O-]C(=O)c1cc(C(=O)[O-])c(cc1c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
LOXBEH,42.0,CN(C)C=O,O,,,,0.412,0.588,,,,,,,,,100,72,Cd,CH3COO,,,O=C(N1CCCC1C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-],c1ncn(c1)c1cc(cc(c1)n1cncc1)n1cncc1
NAYZUK,75.0,O,CC#N,,,,0.519,0.481,,,,[OH-].[Na+],,,,,100,72,In,Cl,,,[O-]C(=O)c1ccc(c2c1cccc2)C(=O)[O-],
OHIHET,44.0,O,,,,,1.0,,,,,[OH-].[Na+],,,,,100,72,Zn,NO3,,,N1=CN([C]=C1)c1ccc(cc1)C1=[C][CH]N=C1,N1=C[C]=C([CH]1)c1ccc(cc1)N1[C]=CN=C1
OQUCOU,35.0,CC(=O)N(C)C,O,,,,0.369,0.631,,,,,,,,,100,72,Cd,CH3COO,,,CC(C(=O)[O-])Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-],
OWUWOU,28.0,CN(C)C=O,O,,,,0.319,0.681,,,,,,,,,100,72,"Cd,Fe",Cl,Cl,,[O]c1c(C=NCCN=Cc2cc(OCc3cc(cc(c3)C(=O)[O-])C(=O)[O-])cc(c2[O])C(C)(C)C)cc(cc1C(C)(C)C)OCc1cc(cc(c1)C(=O)[O-])C(=O)[O-],
QAGQEW,76.0,CC(=O)N(C)C,,,,,1.0,,,,,[H+].[B-](F)(F)(F)F,,,,,100,72,Cd,NO3,,,[O-]C(=O)c1cc2c(s1)c1cc(sc1c1c2sc(c1)C(=O)[O-])C(=O)[O-],
QIVZEC,,O,CCO,,,,0.906,0.094,,,,[OH-].[Na+],,,,,100,72,Zn,NO3,,,,
SAMVIO,,CO,CC(=O)N(C)C,,,,0.695,0.305,,,,CC(=O)O,,,,,100,72,Mn,NO3,,,,
SOBZEQ,45.0,CC(=O)N(C)C,O,,,,0.163,0.837,,,,,,,,,100,72,"Ca,Cd",NO3,NO3,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
VAGBEN,,CN(C)C=O,CCO,,,,0.335,0.665,,,,[N+](=O)(O)[O-],,,,,100,72,"Cu,Gd",I,NO3,,[O-]C(=O)c1cccnc1,
VAGBOX,,O,CCO,,,,0.682,0.318,,,,,,,,,100,72,"Cu,Gd",I,NO3,,[O-]C(=O)c1cccc(c1)c1ccncc1,
WOPGOZ,35.2,O,CN(C)C=O,,,,0.985,0.015,,,,,,,,,100,72,Co,NO3,,,,
XEYMAR,15.0,CN(C)C=O,CCO,,,,0.601,0.399,,,,,,,,,100,72,"Cu,Mn",I,CH3COO,,[O-]C(=O)c1ccncc1,
XICDUI,40.0,C1=CC=CC=C1,C(Cl)(Cl)Cl,,,,0.731,0.269,,,,,,,,,100,72,Cu,BF4|MeCN,,,N#Cc1ccc(cc1)C(n1cncn1)c1ccc(cc1)C#N,
XUGSID,,CN(C)C=O,O,,,,0.028,0.972,,,,CCN(CC)CC,,,,,100,72,Co,NO3,,,[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-],c1ccc2c(c1)[nH]c(n2)C[N]12[CH]N3C4C1C2C34
XULVAD,56.8,O,CC(C)O,,,,0.004,0.996,,,,[OH-].[Na+],,,,,100,72,"Gd,Mn",Cl,Ac,,[O-]C(=O)c1nc(cnc1C(=O)[O-])C(=O)[O-],
VOXQOQ,,CN(C)C=O,CCO,,,,0.531,0.469,,,,,,,,,100,80,Zn,NO3,,,CC1=NN=N[N]1,[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-]
CABDER,55.0,O,,,,,1.0,,,,,[OH-].[Na+],,,,,100,96,Cd,NO3,,,O=C(c1ccncc1)NCc1ccncc1,[O-]C(=O)CC(C(=O)[O-])(C)C
EGABAR,50.0,O,,,,,1.0,,,,,,,,,,100,96,Cd,NO3,,,,
VAGBUD,,O,C1COCCO1,,,,0.758,0.242,,,,,,,,,100,96,"Cu,Gd",I,NO3,,[O-]C(=O)c1cccc(c1)c1ccncc1,
IBUBAL,45.0,CN(C)C=O,O,,,,0.319,0.681,,,,,,,,,100,120,Cd,NO3,,,,
KAKBUW,70.0,O,CN(C)C=O,,,,0.81,0.19,,,,,,,,,100,120,Ca,NO3,,,[N][C][O],[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
KAKCAD,75.0,O,CN(C)C=O,,,,0.81,0.19,,,,,,,,,100,120,Sr,NO3,,,[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],
KAKCEH,90.0,CN(C)C=O,,,,,1.0,,,,,,,,,,100,120,Ba,NO3,,,[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],
PARSAF,75.0,CN(C)C=O,,,,,1.0,,,,,,,,,,100,120,"Ca,In",Cl,NO3,,,
PARSEJ,82.0,CN(C)C=O,,,,,1.0,,,,,,,,,,100,120,"Sr,In",Cl,NO3,,,
TAGTIH,,CC(=O)N(C)C,CN1CCCN(C1=O)C,,,,0.746,0.254,,,,C(=C(F)F)(C(F)(F)F)F,,,,,100,120,Mg,NO3,,,[O-]C(=O)c1ccc(o1)C(=O)[O-],
UMIGAA,50.0,CC(=O)N(C)C,,,,,1.0,,,,,,,,,,100,120,"Zn,Co",ClO4,ClO4,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
UYAMOY,37.0,CN(C)C=O,,,,,1.0,,,,,,,,,,100,120,Cd,NO3,,,,
XASNUD,65.0,CC(=O)N(C)C,,,,,1.0,,,,,[H+].[B-](F)(F)(F)F,,,,,100,120,Zn,ClO4,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
