CMPD_CHEMBLID,exp,smiles,inchi,selfies,exp_cat
CHEMBL1499,1.4,C[C@]12CCC(=O)C=C1CC[C@H]3[C@@H]4CC[C@](O)(C(=O)CO)[C@@]4(C)CC(=O)[C@H]23,"InChI=1S/C21H28O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h9,14-15,18,22,26H,3-8,10-11H2,1-2H3/t14-,15-,18+,19-,20-,21-/m0/s1",[C][C@][C][C][C][=Branch1][C][=O][C][=C][Ring1][#Branch1][C][C][C@H1][C@@H1][C][C][C@][Branch1][C][O][Branch1][#Branch1][C][=Branch1][C][=O][C][O][C@@][Ring1][#Branch2][Branch1][C][C][C][C][=Branch1][C][=O][C@H1][Ring2][Ring1][=Branch2][Ring1][S],medium
CHEMBL393501,3.8,CN1C(=O)C=C(CCc2cccc(c2)c3ccccc3)N=C1N,"InChI=1S/C19H19N3O/c1-22-18(23)13-17(21-19(22)20)11-10-14-6-5-9-16(12-14)15-7-3-2-4-8-15/h2-9,12-13H,10-11H2,1H3,(H2,20,21)",[C][N][C][=Branch1][C][=O][C][=C][Branch2][Ring1][Branch1][C][C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=C][Ring2][Ring1][Branch1][N],very large
CHEMBL1222443,2.07,CC1=CC2=NNC(=O)N2c3cc(ccc13)c4occc4,"InChI=1S/C15H11N3O2/c1-9-7-14-16-17-15(19)18(14)12-8-10(4-5-11(9)12)13-3-2-6-20-13/h2-8H,1H3,(H,17,19)",[C][C][=C][C][=N][N][C][=Branch1][C][=O][N][Ring1][=Branch1][C][=C][C][=Branch1][Branch2][=C][C][=C][Ring1][=C][Ring1][=Branch1][C][O][C][=C][C][=Ring1][Branch1],medium
CHEMBL2335904,3.2,C[C@@H](NC1=CC(=O)CC1)c2ccc(Nc3ncc4cc(ccc4n3)c5ccncc5)cc2,"InChI=1S/C26H23N5O/c1-17(29-23-7-8-24(32)15-23)18-2-5-22(6-3-18)30-26-28-16-21-14-20(4-9-25(21)31-26)19-10-12-27-13-11-19/h2-6,9-17,29H,7-8H2,1H3,(H,28,30,31)/t17-/m1/s1",[C][C@@H1][Branch1][N][N][C][=C][C][=Branch1][C][=O][C][C][Ring1][=Branch1][C][=C][C][=C][Branch2][Ring1][#Branch2][N][C][=N][C][=C][C][=C][Branch1][=Branch2][C][=C][C][Ring1][=Branch1][=N][Ring1][#Branch2][C][=C][C][=N][C][=C][Ring1][=Branch1][C][=C][Ring2][Ring1][#Branch1],large
CHEMBL2153173,3.24,CCCSc1ncccc1C(=O)NC2CCCCC2,"InChI=1S/C15H22N2OS/c1-2-11-19-15-13(9-6-10-16-15)14(18)17-12-7-4-3-5-8-12/h6,9-10,12H,2-5,7-8,11H2,1H3,(H,17,18)",[C][C][C][S][C][=N][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][C][C][C][C][C][Ring1][=Branch1],large
CHEMBL1916283,1.2,C[C@@H](NC(=O)c1c(C)nn(c1NS(=O)(=O)c2ccc(C)cc2)c3ccccc3)C(C)(C)C,"InChI=1S/C24H30N4O3S/c1-16-12-14-20(15-13-16)32(30,31)27-22-21(23(29)25-18(3)24(4,5)6)17(2)26-28(22)19-10-8-7-9-11-19/h7-15,18,27H,1-6H3,(H,25,29)/t18-/m1/s1",[C][C@@H1][Branch2][Ring2][=C][N][C][=Branch1][C][=O][C][C][Branch1][C][C][=N][N][Branch2][Ring1][#Branch1][C][=Ring1][=Branch1][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][C][Branch1][C][C][C],medium
CHEMBL184271,3.19,COc1cc2ncnc(Nc3cc(NC(=O)c4ccnc(c4)N5CCOCC5)ccc3C)c2cc1OCCN6CCOCC6,"InChI=1S/C32H37N7O5/c1-22-3-4-24(36-32(40)23-5-6-33-30(17-23)39-10-14-43-15-11-39)18-26(22)37-31-25-19-29(28(41-2)20-27(25)34-21-35-31)44-16-9-38-7-12-42-13-8-38/h3-6,17-21H,7-16H2,1-2H3,(H,36,40)(H,34,35,37)",[C][O][C][=C][C][=N][C][=N][C][Branch2][Ring2][=Branch1][N][C][=C][C][Branch2][Ring1][Branch2][N][C][=Branch1][C][=O][C][=C][C][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][C][C][O][C][C][Ring1][=Branch1][=C][C][=C][Ring2][Ring1][Branch1][C][=C][Ring2][Ring1][=N][C][=C][Ring2][Ring1][P][O][C][C][N][C][C][O][C][C][Ring1][=Branch1],large
CHEMBL2164744,0.77,COc1ccc2N=CC(=O)N(CCN3CC[C@H](NCc4cc5OCCOc5cn4)[C@H](O)C3)c2c1,"InChI=1S/C24H29N5O5/c1-32-17-2-3-18-20(11-17)29(24(31)14-27-18)7-6-28-5-4-19(21(30)15-28)26-12-16-10-22-23(13-25-16)34-9-8-33-22/h2-3,10-11,13-14,19,21,26,30H,4-9,12,15H2,1H3/t19-,21+/m0/s1",[C][O][C][=C][C][=C][N][=C][C][=Branch1][C][=O][N][Branch2][Ring1][P][C][C][N][C][C][C@H1][Branch1][P][N][C][C][=C][C][O][C][C][O][C][=Ring1][=Branch1][C][=N][Ring1][#Branch2][C@H1][Branch1][C][O][C][Ring2][Ring1][Ring1][C][Ring2][Ring1][N][=C][Ring2][Ring1][S],small
CHEMBL1940279,3.88,O[C@]1(CN2CCC1CC2)C#Cc3ccc(Oc4ccc(cc4)C(=O)NCc5ccnc6ccccc56)cc3,"InChI=1S/C32H29N3O3/c36-31(34-21-25-14-18-33-30-4-2-1-3-29(25)30)24-7-11-28(12-8-24)38-27-9-5-23(6-10-27)13-17-32(37)22-35-19-15-26(32)16-20-35/h1-12,14,18,26,37H,15-16,19-22H2,(H,34,36)/t32-/m0/s1",[O][C@][Branch1][N][C][N][C][C][C][Ring1][=Branch1][C][C][Ring1][=Branch1][C][#C][C][=C][C][=C][Branch2][Ring1][S][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][C][=C][C][=N][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][=C][Ring2][Ring1][O],very large
CHEMBL631,1.72,CCCNCC(O)COc1ccccc1C(=O)CCc2ccccc2,"InChI=1S/C21H27NO3/c1-2-14-22-15-18(23)16-25-21-11-7-6-10-19(21)20(24)13-12-17-8-4-3-5-9-17/h3-11,18,22-23H,2,12-16H2,1H3",[C][C][C][N][C][C][Branch1][C][O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],medium
CHEMBL1303766,-0.2,CCN(CC)c1ccc2C=C(C(=O)O)C(=O)Oc2c1,"InChI=1S/C14H15NO4/c1-3-15(4-2)10-6-5-9-7-11(13(16)17)14(18)19-12(9)8-10/h5-8H,3-4H2,1-2H3,(H,16,17)",[C][C][N][Branch1][Ring1][C][C][C][=C][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O][C][Ring1][#Branch2][=C][Ring1][=C],small
CHEMBL2036782,2.21,CC(C)N1CCN[C@H](C1)C(=O)N2CCN(CC2)C(=O)Nc3ccc(Cl)c(Cl)c3,"InChI=1S/C19H27Cl2N5O2/c1-13(2)26-6-5-22-17(12-26)18(27)24-7-9-25(10-8-24)19(28)23-14-3-4-15(20)16(21)11-14/h3-4,11,13,17,22H,5-10,12H2,1-2H3,(H,23,28)/t17-/m1/s1",[C][C][Branch1][C][C][N][C][C][N][C@H1][Branch1][Ring2][C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][Branch2],large
CHEMBL20210,2.8,CCOC(=O)\C=C\[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c2cc(C)on2)C(C)C)Cc3ccc(F)cc3,"InChI=1S/C31H39FN4O7/c1-5-42-27(38)11-10-24(16-21-12-13-33-29(21)39)34-30(40)22(15-20-6-8-23(32)9-7-20)17-26(37)28(18(2)3)35-31(41)25-14-19(4)43-36-25/h6-11,14,18,21-22,24,28H,5,12-13,15-17H2,1-4H3,(H,33,39)(H,34,40)(H,35,41)/b11-10+/t21-,22+,24+,28-/m0/s1",[C][C][O][C][=Branch1][C][=O][\C][=C][\C@H1][Branch1][#Branch2][C][C@@H1][C][C][N][C][Ring1][Branch1][=O][N][C][=Branch1][C][=O][C@@H1][Branch2][Ring1][=N][C][C][=Branch1][C][=O][C@@H1][Branch1][S][N][C][=Branch1][C][=O][C][C][=C][Branch1][C][C][O][N][=Ring1][=Branch1][C][Branch1][C][C][C][C][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1],large
CHEMBL2336331,3.75,C[C@@H]1CN(C[C@H](C)O1)c2nc(N3CCOC[C@@H]3C)c4ccc(nc4n2)c5ccccc5,"InChI=1S/C24H29N5O2/c1-16-15-30-12-11-29(16)23-20-9-10-21(19-7-5-4-6-8-19)25-22(20)26-24(27-23)28-13-17(2)31-18(3)14-28/h4-10,16-18H,11-15H2,1-3H3/t16-,17-,18+/m0/s1",[C][C@@H1][C][N][Branch1][=Branch2][C][C@H1][Branch1][C][C][O][Ring1][#Branch1][C][=N][C][Branch1][#Branch2][N][C][C][O][C][C@@H1][Ring1][=Branch1][C][=C][C][=C][C][=Branch1][Branch2][=N][C][Ring1][=Branch1][=N][Ring1][P][C][=C][C][=C][C][=C][Ring1][=Branch1],very large
CHEMBL277474,0.11,CN1N(C(=O)C=C1C)c2ccccc2,"InChI=1S/C11H12N2O/c1-9-8-11(14)13(12(9)2)10-6-4-3-5-7-10/h3-8H,1-2H3",[C][N][N][Branch1][#Branch2][C][=Branch1][C][=O][C][=C][Ring1][=Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1],small
CHEMBL2179668,-1.03,CC1=CN([C@H]2CCCN(Cc3ccc(C(=O)O)c(Oc4cccc(F)c4)c3)C2)C(=O)NC1=O,"InChI=1S/C24H24FN3O5/c1-15-12-28(24(32)26-22(15)29)18-5-3-9-27(14-18)13-16-7-8-20(23(30)31)21(10-16)33-19-6-2-4-17(25)11-19/h2,4,6-8,10-12,18H,3,5,9,13-14H2,1H3,(H,30,31)(H,26,29,32)/t18-/m0/s1",[C][C][=C][N][Branch2][Ring2][O][C@H1][C][C][C][N][Branch2][Ring1][#C][C][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][Branch1][=N][O][C][=C][C][=C][C][Branch1][C][F][=C][Ring1][#Branch1][=C][Ring1][P][C][Ring2][Ring1][Branch2][C][=Branch1][C][=O][N][C][Ring2][Ring1][#C][=O],very small
CHEMBL1349,-1.3,CC(C)[C@H](N)C(=O)OCCOCn1cnc2C(=O)N=C(N)Nc12,"InChI=1S/C13H20N6O4/c1-7(2)8(14)12(21)23-4-3-22-6-19-5-16-9-10(19)17-13(15)18-11(9)20/h5,7-8H,3-4,6,14H2,1-2H3,(H3,15,17,18,20)/t8-/m0/s1",[C][C][Branch1][C][C][C@H1][Branch1][C][N][C][=Branch1][C][=O][O][C][C][O][C][N][C][=N][C][C][=Branch1][C][=O][N][=C][Branch1][C][N][N][C][Ring1][O][=Ring1][Branch2],very small
CHEMBL1949685,1.65,CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N[C@H]2CCCN(CCc3ccccc3)C2,"InChI=1S/C25H40N4O2/c1-19(26-2)24(30)28-23(21-12-7-4-8-13-21)25(31)27-22-14-9-16-29(18-22)17-15-20-10-5-3-6-11-20/h3,5-6,10-11,19,21-23,26H,4,7-9,12-18H2,1-2H3,(H,27,31)(H,28,30)/t19-,22-,23-/m0/s1",[C][N][C@@H1][Branch1][C][C][C][=Branch1][C][=O][N][C@@H1][Branch1][=Branch2][C][C][C][C][C][C][Ring1][=Branch1][C][=Branch1][C][=O][N][C@H1][C][C][C][N][Branch1][O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][=C],medium
CHEMBL2011908,2.88,CNc1c(Br)cnc2[nH]c(nc12)c3ccc(cc3)S(=O)(=O)C,"InChI=1S/C14H13BrN4O2S/c1-16-11-10(15)7-17-14-12(11)18-13(19-14)8-3-5-9(6-4-8)22(2,20)21/h3-7H,1-2H3,(H2,16,17,18,19)",[C][N][C][=C][Branch1][C][Br][C][=N][C][NH1][C][=Branch1][#Branch1][=N][C][Ring1][#Branch2][=Ring1][Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C],large
CHEMBL392559,1.45,Clc1ccc(CN2C[C@@H]3C[C@H]2CN3)cc1C(=O)NCC45CC6CC(CC(C6)C4)C5,"InChI=1S/C24H32ClN3O/c25-22-2-1-15(12-28-13-19-7-20(28)11-26-19)6-21(22)23(29)27-14-24-8-16-3-17(9-24)5-18(4-16)10-24/h1-2,6,16-20,26H,3-5,7-14H2,(H,27,29)/t16?,17?,18?,19-,20-,24?/m0/s1",[Cl][C][=C][C][=C][Branch1][=N][C][N][C][C@@H1][C][C@H1][Ring1][Branch1][C][N][Ring1][Branch1][C][=C][Ring1][=C][C][=Branch1][C][=O][N][C][C][C][C][C][C][Branch1][O][C][C][Branch1][Ring2][C][Ring1][=Branch1][C][Ring1][=Branch2][C][Ring1][#Branch2],medium
CHEMBL760,1.86,Clc1ccc2N=C3NC(=O)CN3Cc2c1Cl,"InChI=1S/C10H7Cl2N3O/c11-6-1-2-7-5(9(6)12)3-15-4-8(16)14-10(15)13-7/h1-2H,3-4H2,(H,13,14,16)",[Cl][C][=C][C][=C][N][=C][N][C][=Branch1][C][=O][C][N][Ring1][=Branch1][C][C][Ring1][#Branch2][=C][Ring1][=C][Cl],medium
CHEMBL2158834,1.71,OC(=O)c1cccnc1N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2,"InChI=1S/C23H27Cl2N3O3/c24-20-4-3-18(14-21(20)25)31-17-7-10-27(11-8-17)15-16-5-12-28(13-6-16)22-19(23(29)30)2-1-9-26-22/h1-4,9,14,16-17H,5-8,10-13,15H2,(H,29,30)",[O][C][=Branch1][C][=O][C][=C][C][=C][N][=C][Ring1][=Branch1][N][C][C][C][Branch2][Ring1][O][C][N][C][C][C][Branch1][Branch1][C][C][Ring1][=Branch1][O][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][Branch2][C][C][Ring2][Ring1][=Branch1],medium
CHEMBL1385161,-0.2,CC(=O)Nc1nc(N)n(n1)c2ccccc2,"InChI=1S/C10H11N5O/c1-7(16)12-10-13-9(11)15(14-10)8-5-3-2-4-6-8/h2-6H,1H3,(H3,11,12,13,14,16)",[C][C][=Branch1][C][=O][N][C][N][=C][Branch1][C][N][N][Branch1][Ring2][N][=Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],small
CHEMBL452861,0.99,CC(C)NC[C@H](O)COc1cccc2ccccc12,"InChI=1S/C16H21NO2/c1-12(2)17-10-14(18)11-19-16-9-5-7-13-6-3-4-8-15(13)16/h3-9,12,14,17-18H,10-11H2,1-2H3/t14-/m0/s1",[C][C][Branch1][C][C][N][C][C@H1][Branch1][C][O][C][O][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1],medium
CHEMBL324343,1.14,CC(C)C(NC(=O)CN1C(=O)C(=CC=C1c2ccccc2)NC(=O)Cc3ccccc3C(=O)O)C(=O)C(F)(F)F,"InChI=1S/C28H26F3N3O6/c1-16(2)24(25(37)28(29,30)31)33-23(36)15-34-21(17-8-4-3-5-9-17)13-12-20(26(34)38)32-22(35)14-18-10-6-7-11-19(18)27(39)40/h3-13,16,24H,14-15H2,1-2H3,(H,32,35)(H,33,36)(H,39,40)",[C][C][Branch1][C][C][C][Branch2][Ring2][#C][N][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][C][=Branch1][=C][=C][C][=C][Ring1][#Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F],medium
CHEMBL379350,2.0,CCN(CC)c1ccc2C=C(C(=O)C)C(=O)Oc2c1,"InChI=1S/C15H17NO3/c1-4-16(5-2)12-7-6-11-8-13(10(3)17)15(18)19-14(11)9-12/h6-9H,4-5H2,1-3H3",[C][C][N][Branch1][Ring1][C][C][C][=C][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][C][C][=Branch1][C][=O][O][C][Ring1][#Branch2][=C][Ring1][=C],medium
CHEMBL1468936,3.8,CCOC(=O)c1c(nc2cc(C)ccn12)c3ccccc3,"InChI=1S/C17H16N2O2/c1-3-21-17(20)16-15(13-7-5-4-6-8-13)18-14-11-12(2)9-10-19(14)16/h4-11H,3H2,1-2H3",[C][C][O][C][=Branch1][C][=O][C][=C][Branch1][#C][N][=C][C][=C][Branch1][C][C][C][=C][N][Ring1][#Branch2][Ring1][#Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],very large
CHEMBL1778627,-0.81,CN(c1ccc(cc1)c2cc(ccc2OCC(=O)O)C(F)(F)F)S(=O)(=O)C,"InChI=1S/C17H16F3NO5S/c1-21(27(2,24)25)13-6-3-11(4-7-13)14-9-12(17(18,19)20)5-8-15(14)26-10-16(22)23/h3-9H,10H2,1-2H3,(H,22,23)",[C][N][Branch2][Ring2][Ring2][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=Branch1][=N][=C][C][=C][Ring1][=Branch1][O][C][C][=Branch1][C][=O][O][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][C],very small
CHEMBL1762521,3.47,CN(c1ccccc1)c2ccnc(Nc3cc(cc(c3)N4CCOCC4)N5CCOCC5)n2,"InChI=1S/C25H30N6O2/c1-29(21-5-3-2-4-6-21)24-7-8-26-25(28-24)27-20-17-22(30-9-13-32-14-10-30)19-23(18-20)31-11-15-33-16-12-31/h2-8,17-19H,9-16H2,1H3,(H,26,27,28)",[C][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=N][C][Branch2][Ring1][=C][N][C][=C][C][=Branch1][S][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][C][C][O][C][C][Ring1][=Branch1][N][C][C][O][C][C][Ring1][=Branch1][=N][Ring2][Ring1][=Branch2],very large
CHEMBL2170985,0.9,Nc1ncnc2c1ncn2[C@@H]3O[C@H](CSCCCNC(=O)NCc4ccccc4)[C@@H](O)[C@H]3O,"InChI=1S/C21H27N7O4S/c22-18-15-19(26-11-25-18)28(12-27-15)20-17(30)16(29)14(32-20)10-33-8-4-7-23-21(31)24-9-13-5-2-1-3-6-13/h1-3,5-6,11-12,14,16-17,20,29-30H,4,7-10H2,(H2,22,25,26)(H2,23,24,31)/t14-,16-,17-,20-/m1/s1",[N][C][=N][C][=N][C][=C][Ring1][=Branch1][N][=C][N][Ring1][Branch1][C@@H1][O][C@H1][Branch2][Ring1][Branch1][C][S][C][C][C][N][C][=Branch1][C][=O][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@@H1][Branch1][C][O][C@H1][Ring2][Ring1][=Branch1][O],medium
CHEMBL91428,3.9,COc1cc2ncnc(Nc3cc4ccccc4cn3)c2cc1OC,"InChI=1S/C19H16N4O2/c1-24-16-8-14-15(9-17(16)25-2)21-11-22-19(14)23-18-7-12-5-3-4-6-13(12)10-20-18/h3-11H,1-2H3,(H,20,21,22,23)",[C][O][C][=C][C][=N][C][=N][C][Branch1][S][N][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=N][Ring1][#Branch2][=C][Ring1][P][C][=C][Ring2][Ring1][Branch1][O][C],very large
CHEMBL567175,2.7,Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)c7[nH]c8ccccc8c7C[C@@]36O,"InChI=1S/C26H26N2O3/c29-19-8-7-15-11-20-26(30)12-17-16-3-1-2-4-18(16)27-22(17)24-25(26,21(15)23(19)31-24)9-10-28(20)13-14-5-6-14/h1-4,7-8,14,20,24,27,29-30H,5-6,9-13H2/t20-,24+,25+,26-/m1/s1",[O][C][=C][C][=C][C][C@H1][N][Branch1][#Branch1][C][C][C][C][Ring1][Ring1][C][C][C@@][C@@H1][Branch1][#Branch2][O][C][Ring1][P][=C][Ring1][#C][Ring1][Branch1][C][NH1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Ring1][=Branch2][C][C@@][Ring2][Ring1][Branch2][Ring1][S][O],large
CHEMBL1916083,-0.54,CNC(=O)c1cnn(c1NS(=O)(=O)c2ccc(C)cc2)c3ccccc3,"InChI=1S/C18H18N4O3S/c1-13-8-10-15(11-9-13)26(24,25)21-17-16(18(23)19-2)12-20-22(17)14-6-4-3-5-7-14/h3-12,21H,1-2H3,(H,19,23)",[C][N][C][=Branch1][C][=O][C][C][=N][N][Branch2][Ring1][#Branch1][C][=Ring1][Branch1][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],very small
CHEMBL2335865,3.56,COCCNC(=O)c1ccc(Nc2ncc3cc(ccc3n2)c4ccnc(C)c4)cc1,"InChI=1S/C24H23N5O2/c1-16-13-19(9-10-25-16)18-5-8-22-20(14-18)15-27-24(29-22)28-21-6-3-17(4-7-21)23(30)26-11-12-31-2/h3-10,13-15H,11-12H2,1-2H3,(H,26,30)(H,27,28,29)",[C][O][C][C][N][C][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][=N][N][C][=N][C][=C][C][=C][Branch1][=Branch2][C][=C][C][Ring1][=Branch1][=N][Ring1][#Branch2][C][=C][C][=N][C][Branch1][C][C][=C][Ring1][#Branch1][C][=C][Ring2][Ring1][Branch2],very large
CHEMBL384536,2.04,CC(C)CN1C(=O)N(C)C(=O)c2c1sc(Cc3c[nH]c4ncccc34)c2C(=O)N5C[C@H](O)CO5,"InChI=1S/C23H25N5O5S/c1-12(2)9-27-22-18(20(30)26(3)23(27)32)17(21(31)28-10-14(29)11-33-28)16(34-22)7-13-8-25-19-15(13)5-4-6-24-19/h4-6,8,12,14,29H,7,9-11H2,1-3H3,(H,24,25)/t14-/m0/s1",[C][C][Branch1][C][C][C][N][C][=Branch1][C][=O][N][Branch1][C][C][C][=Branch1][C][=O][C][=C][Ring1][=Branch2][S][C][Branch1][#C][C][C][=C][NH1][C][=N][C][=C][C][=C][Ring1][=Branch2][Ring1][=Branch1][=C][Ring1][#C][C][=Branch1][C][=O][N][C][C@H1][Branch1][C][O][C][O][Ring1][=Branch1],medium
CHEMBL313907,1.25,O=S(=O)(Nc1nc(nn1Cc2ccccc2)c3ccccc3)c4ccccc4,"InChI=1S/C21H18N4O2S/c26-28(27,19-14-8-3-9-15-19)24-21-22-20(18-12-6-2-7-13-18)23-25(21)16-17-10-4-1-5-11-17/h1-15H,16H2,(H,22,23,24)",[O][=S][=Branch1][C][=O][Branch2][Ring1][N][N][C][=N][C][=Branch1][=C][=N][N][Ring1][Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],medium
CHEMBL2059910,1.58,CNC(=O)Nc1nc2ccc(cn2n1)c3cncc(c3)S(=O)(=O)NC(C)(C)C,"InChI=1S/C17H21N7O3S/c1-17(2,3)23-28(26,27)13-7-12(8-19-9-13)11-5-6-14-20-15(21-16(25)18-4)22-24(14)10-11/h5-10,23H,1-4H3,(H2,18,21,22,25)",[C][N][C][=Branch1][C][=O][N][C][N][=C][C][=C][C][=Branch1][Branch2][=C][N][Ring1][=Branch1][N][=Ring1][=Branch2][C][=C][N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][C][Branch1][C][C][Branch1][C][C][C],medium
CHEMBL1809062,3.2,COc1cc(ccc1Nc2ncc(Cl)c(n2)c3cnc4ccccn34)N5CCN(CCO)CC5,"InChI=1S/C24H26ClN7O2/c1-34-21-14-17(31-10-8-30(9-11-31)12-13-33)5-6-19(21)28-24-27-15-18(25)23(29-24)20-16-26-22-4-2-3-7-32(20)22/h2-7,14-16,33H,8-13H2,1H3,(H,27,28,29)",[C][O][C][=C][C][=Branch2][Ring1][P][=C][C][=C][Ring1][=Branch1][N][C][=N][C][=C][Branch1][C][Cl][C][=Branch1][Ring2][=N][Ring1][#Branch1][C][=C][N][=C][C][=C][C][=C][N][Ring1][=Branch2][Ring1][=Branch1][N][C][C][N][Branch1][Ring2][C][C][O][C][C][Ring1][=Branch2],large
CHEMBL2035039,1.6,NC1(CCC1)c2ccc(cc2)N3C(=O)c4ccccc4N=C3c5ccccc5,"InChI=1S/C24H21N3O/c25-24(15-6-16-24)18-11-13-19(14-12-18)27-22(17-7-2-1-3-8-17)26-21-10-5-4-9-20(21)23(27)28/h1-5,7-14H,6,15-16,25H2",[N][C][Branch1][=Branch1][C][C][C][Ring1][Ring2][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=C][Ring1][O][C][=C][C][=C][C][=C][Ring1][=Branch1],medium
CHEMBL1824040,0.37,CC(=O)c1ccc2OCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1,"InChI=1S/C25H29N5O5/c1-16(31)17-2-4-21-20(12-17)30(24(33)15-35-21)11-10-29-8-6-18(7-9-29)26-13-19-3-5-22-25(27-19)28-23(32)14-34-22/h2-5,12,18,26H,6-11,13-15H2,1H3,(H,27,28,32)",[C][C][=Branch1][C][=O][C][=C][C][=C][O][C][C][=Branch1][C][=O][N][Branch2][Ring1][S][C][C][N][C][C][C][Branch1][Branch1][C][C][Ring1][=Branch1][N][C][C][=C][C][=C][O][C][C][=Branch1][C][=O][N][C][Ring1][#Branch1][=N][Ring1][O][C][Ring2][Ring1][N][=C][Ring2][Ring1][S],small
CHEMBL569,0.0,CCN(CC)CCOC(=O)c1ccc(N)cc1,"InChI=1S/C13H20N2O2/c1-3-15(4-2)9-10-17-13(16)11-5-7-12(14)8-6-11/h5-8H,3-4,9-10,14H2,1-2H3",[C][C][N][Branch1][Ring1][C][C][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1],small
CHEMBL515839,2.82,CC(C)n1c(C)ncc1c2ccnc(Nc3ccc(cc3)S(=O)(=O)CC4CCCO4)n2,"InChI=1S/C22H27N5O3S/c1-15(2)27-16(3)24-13-21(27)20-10-11-23-22(26-20)25-17-6-8-19(9-7-17)31(28,29)14-18-5-4-12-30-18/h6-11,13,15,18H,4-5,12,14H2,1-3H3,(H,23,25,26)",[C][C][Branch1][C][C][N][C][Branch1][C][C][=N][C][=C][Ring1][=Branch1][C][=C][C][=N][C][Branch2][Ring1][O][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][C][C][C][C][O][Ring1][Branch1][=N][Ring2][Ring1][=Branch1],large
