iupac,smiles,expt,calc,inchi,selfies,expt_cat
carbofuran,CC1(Cc2cccc(c2O1)OC(=O)NC)C,-9.61,-11.126,"InChI=1S/C12H15NO3/c1-12(2)7-8-5-4-6-9(10(8)16-12)15-11(14)13-3/h4-6H,7H2,1-3H3,(H,13,14)",[C][C][Branch2][Ring1][=Branch1][C][C][=C][C][=C][C][=Branch1][#Branch1][=C][Ring1][=Branch1][O][Ring1][=Branch2][O][C][=Branch1][C][=O][N][C][C],medium
benzyl bromide,c1ccc(cc1)CBr,-2.38,-1.853,"InChI=1S/C7H7Br/c8-6-7-4-2-1-3-5-7/h1-5H,6H2",[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Br],large
ethyl hexanoate,CCCCCC(=O)OCC,-2.23,-2.929,"InChI=1S/C8H16O2/c1-3-5-6-7-8(9)10-4-2/h3-7H2,1-2H3",[C][C][C][C][C][C][=Branch1][C][=O][O][C][C],very large
1-methoxypropane,CCCOC,-1.66,-0.598,"InChI=1S/C4H10O/c1-3-4-5-2/h3-4H2,1-2H3",[C][C][C][O][C],very large
4-methylmorpholine,CN1CCOCC1,-6.32,-5.774,"InChI=1S/C5H11NO/c1-6-2-4-7-5-3-6/h2-5H2,1H3",[C][N][C][C][O][C][C][Ring1][=Branch1],large
3-hydroxybenzonitrile,c1cc(cc(c1)O)C#N,-9.65,-7.739,"InChI=1S/C7H5NO/c8-5-6-2-1-3-7(9)4-6/h1-4,9H",[C][=C][C][=Branch1][=Branch2][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][#N],medium
"1,2,4,5-tetrachloro-3-(3,4-dichlorophenyl)benzene",c1cc(c(cc1c2c(c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl,-4.38,-0.705,InChI=1S/C12H4Cl6/c13-6-2-1-5(3-7(6)14)10-11(17)8(15)4-9(16)12(10)18/h1-4H,[C][=C][C][=Branch2][Ring1][N][=C][Branch2][Ring1][#Branch1][C][=C][Ring1][=Branch1][C][=C][Branch1][=C][C][=Branch1][#Branch2][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl][Cl][Cl],large
propylbenzene,CCCc1ccccc1,-0.53,-0.511,"InChI=1S/C9H12/c1-2-6-9-7-4-3-5-8-9/h3-5,7-8H,2,6H2,1H3",[C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],very large
caffeine,Cn1cnc2c1c(=O)n(c(=O)n2C)C,-12.64,-17.621,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3",[C][N][C][=N][C][=C][Ring1][Branch1][C][=Branch1][C][=O][N][Branch1][=Branch2][C][=Branch1][C][=O][N][Ring1][Branch2][C][C],medium
N-methylmethanamine,CNC,-4.29,-2.991,"InChI=1S/C2H7N/c1-3-2/h3H,1-2H3",[C][N][C],large
"1,1,2,3,3,3-hexafluoroprop-1-ene",C(=C(F)F)(C(F)(F)F)F,2.93,2.305,"InChI=1S/C3F6/c4-1(2(5)6)3(7,8)9",[C][=Branch1][=Branch1][=C][Branch1][C][F][F][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][F],very large
4-chlorophenol,c1cc(ccc1O)Cl,-7.03,-5.373,"InChI=1S/C6H5ClO/c7-5-1-3-6(8)4-2-5/h1-4,8H",[C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][O][Cl],large
piperidine,C1CCNCC1,-5.11,-3.873,"InChI=1S/C5H11N/c1-2-4-6-5-3-1/h6H,1-5H2",[C][C][C][N][C][C][Ring1][=Branch1],large
phenanthrene,c1ccc2c(c1)ccc3c2cccc3,-3.88,-5.264,InChI=1S/C14H10/c1-3-7-13-11(5-1)9-10-12-6-2-4-8-14(12)13/h1-10H,[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][#Branch1][C][=C][C][=C][Ring1][=Branch1],large
iodomethane,CI,-0.89,-0.641,InChI=1S/CH3I/c1-2/h1H3,[C][I],very large
"3,5-dichloro-2,6-dimethoxyphenol",COc1c(cc(c(c1O)OC)Cl)Cl,-6.44,-5.98,"InChI=1S/C8H8Cl2O3/c1-12-7-4(9)3-5(10)8(13-2)6(7)11/h3,11H,1-2H3",[C][O][C][=C][Branch1][#C][C][=C][Branch1][#Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][O][O][C][Cl][Cl],large
"(E)-1,2-dichloroethylene",C(=C/Cl)\Cl,-0.78,1.024,InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H/b2-1+,[C][=Branch1][Ring1][=C][/Cl][\Cl],very large
n-pentane,CCCCC,2.3,2.673,"InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3",[C][C][C][C][C],very large
butanenitrile,CCCC#N,-3.64,-2.287,"InChI=1S/C4H7N/c1-2-3-4-5/h2-3H2,1H3",[C][C][C][C][#N],large
"2-bromo-1,1,1,2-tetrafluoro-ethane",[C@@H](C(F)(F)F)(F)Br,0.5,0.234,"InChI=1S/C2HBrF4/c3-1(4)2(5,6)7/h1H/t1-/m0/s1",[C@@H1][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][Branch1][C][F][Br],very large
2-isobutylpyrazine,CC(C)Cc1cnccn1,-5.04,-5.495,"InChI=1S/C8H12N2/c1-7(2)5-8-6-9-3-4-10-8/h3-4,6-7H,5H2,1-2H3",[C][C][Branch1][C][C][C][C][=C][N][=C][C][=N][Ring1][=Branch1],large
[(2S)-butan-2-yl] nitrate,CC[C@H](C)O[N+](=O)[O-],-1.82,-1.864,"InChI=1S/C4H9NO3/c1-3-4(2)8-5(6)7/h4H,3H2,1-2H3/t4-/m0/s1",[C][C][C@H1][Branch1][C][C][O][N+1][=Branch1][C][=O][O-1],very large
"1,4-dichloro-2-phenyl-benzene",c1ccc(cc1)c2cc(ccc2Cl)Cl,-2.46,-1.903,InChI=1S/C12H8Cl2/c13-10-6-7-12(14)11(8-10)9-4-2-1-3-5-9/h1-8H,[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][Cl][Cl],large
"1,2,3,4-tetrachloro-5-phenyl-benzene",c1ccc(cc1)c2cc(c(c(c2Cl)Cl)Cl)Cl,-3.48,-1.31,InChI=1S/C12H6Cl4/c13-9-6-8(7-4-2-1-3-5-7)10(14)12(16)11(9)15/h1-6H,[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=Branch1][=N][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl],large
"2,3-dimethylpentane",CC[C@@H](C)C(C)C,2.52,2.625,"InChI=1S/C7H16/c1-5-7(4)6(2)3/h6-7H,5H2,1-4H3/t7-/m1/s1",[C][C][C@@H1][Branch1][C][C][C][Branch1][C][C][C],very large
4-methylpentan-2-ol,C[C@H](CC(C)C)O,-3.73,-2.907,"InChI=1S/C6H14O/c1-5(2)4-6(3)7/h5-7H,4H2,1-3H3/t6-/m1/s1",[C][C@H1][Branch1][#Branch1][C][C][Branch1][C][C][C][O],large
tetrahydropyran,C1CCOCC1,-3.12,-1.809,InChI=1S/C5H10O/c1-2-4-6-5-3-1/h1-5H2,[C][C][C][O][C][C][Ring1][=Branch1],large
cyclopropane,C1CC1,0.75,2.485,InChI=1S/C3H6/c1-2-3-1/h1-3H2,[C][C][C][Ring1][Ring1],very large
"1,2,3,4-tetrachloro-5-(3,4,5-trichlorophenyl)benzene",c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl,-3.17,-0.822,InChI=1S/C12H3Cl7/c13-6-1-4(2-7(14)10(6)17)5-3-8(15)11(18)12(19)9(5)16/h1-3H,[C][=C][Branch1][=C][C][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][C][=C][C][=Branch1][=N][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl],large
"1,1-dichloroethylene",C=C(Cl)Cl,0.25,1.108,InChI=1S/C2H2Cl2/c1-2(3)4/h1H2,[C][=C][Branch1][C][Cl][Cl],very large
2-methylpropan-1-ol,CC(C)CO,-4.5,-3.13,"InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3",[C][C][Branch1][C][C][C][O],large
propyl propanoate,CCCOC(=O)CC,-2.44,-2.453,"InChI=1S/C6H12O2/c1-3-5-8-6(7)4-2/h3-5H2,1-2H3",[C][C][C][O][C][=Branch1][C][=O][C][C],large
hexachloroethane,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,-0.64,0.885,"InChI=1S/C2Cl6/c3-1(4,5)2(6,7)8",[C][Branch1][=Branch2][C][Branch1][C][Cl][Branch1][C][Cl][Cl][Branch1][C][Cl][Branch1][C][Cl][Cl],very large
methylsulfanylbenzene,CSc1ccccc1,-2.73,-1.325,"InChI=1S/C7H8S/c1-8-7-5-3-2-4-6-7/h2-6H,1H3",[C][S][C][=C][C][=C][C][=C][Ring1][=Branch1],large
2-ethylphenol,CCc1ccccc1O,-5.66,-4.768,"InChI=1S/C8H10O/c1-2-7-5-3-4-6-8(7)9/h3-6,9H,2H2,1H3",[C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O],large
2-chloro-2-methyl-propane,CC(C)(C)Cl,1.09,0.826,"InChI=1S/C4H9Cl/c1-4(2,3)5/h1-3H3",[C][C][Branch1][C][C][Branch1][C][C][Cl],very large
isoprene,CC(=C)C=C,0.68,1.824,"InChI=1S/C5H8/c1-4-5(2)3/h4H,1-2H2,3H3",[C][C][=Branch1][C][=C][C][=C],very large
1-isopropyl-4-methyl-benzene,Cc1ccc(cc1)C(C)C,-0.68,-0.456,"InChI=1S/C10H14/c1-8(2)10-6-4-9(3)5-7-10/h4-8H,1-3H3",[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][C][C][C],very large
1-methylimidazole,Cn1ccnc1,-8.41,-6.282,"InChI=1S/C4H6N2/c1-6-3-2-5-4-6/h2-4H,1H3",[C][N][C][=C][N][=C][Ring1][Branch1],medium
ethylene glycol,C(CO)O,-9.3,-7.266,"InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2",[C][Branch1][Ring1][C][O][O],medium
"1,2-dichlorobenzene",c1ccc(c(c1)Cl)Cl,-1.36,-0.553,InChI=1S/C6H4Cl2/c7-5-3-1-2-4-6(5)8/h1-4H,[C][=C][C][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][Cl],very large
6-chlorouracil,c1c(=O)[nH]c(=O)[nH]c1Cl,-15.83,-15.128,"InChI=1S/C4H3ClN2O2/c5-2-1-3(8)7-4(9)6-2/h1H,(H2,6,7,8,9)",[C][C][=Branch1][C][=O][NH1][C][=Branch1][C][=O][NH1][C][=Ring1][Branch2][Cl],small
propyl formate,CCCOC=O,-2.48,-3.699,"InChI=1S/C4H8O2/c1-2-3-6-4-5/h4H,2-3H2,1H3",[C][C][C][O][C][=O],large
2-chlorodibenzo-p-dioxin,c1ccc2c(c1)Oc3ccc(cc3O2)Cl,-3.1,-4.054,InChI=1S/C12H7ClO2/c13-8-5-6-11-12(7-8)15-10-4-2-1-3-9(10)14-11/h1-7H,[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][=C][C][=C][Branch1][Branch2][C][=C][Ring1][=Branch1][O][Ring1][O][Cl],large
hexanoic acid,CCCCCC(=O)O,-6.21,-7.878,"InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)",[C][C][C][C][C][C][=Branch1][C][=O][O],large
diethyl butanedioate,CCOC(=O)CCC(=O)OCC,-5.71,-8.683,"InChI=1S/C8H14O4/c1-3-11-7(9)5-6-8(10)12-4-2/h3-6H2,1-2H3",[C][C][O][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][O][C][C],large
"2,4-dimethylpyridine",Cc1ccnc(c1)C,-4.86,-3.282,"InChI=1S/C7H9N/c1-6-3-4-8-7(2)5-6/h3-5H,1-2H3",[C][C][=C][C][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C],large
cyclohexene,C1CCC=CC1,0.14,1.175,"InChI=1S/C6H10/c1-2-4-6-5-3-1/h1-2H,3-6H2",[C][C][C][C][=C][C][Ring1][=Branch1],very large
"1,4-dimethylpiperazine",CN1CCN(CC1)C,-7.58,-7.874,"InChI=1S/C6H14N2/c1-7-3-5-8(2)6-4-7/h3-6H2,1-2H3",[C][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C],large
"1,2,3,4-tetrachloro-5-(3,4-dichlorophenyl)benzene",c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl,-3.04,-1.083,InChI=1S/C12H4Cl6/c13-7-2-1-5(3-8(7)14)6-4-9(15)11(17)12(18)10(6)16/h1-4H,[C][=C][C][=Branch2][Ring1][N][=C][Branch2][Ring1][#Branch1][C][=C][Ring1][=Branch1][C][=C][C][=Branch1][=N][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl][Cl][Cl],large
quinone,C1=CC(=O)C=CC1=O,-6.5,-6.96,InChI=1S/C6H4O2/c7-5-1-2-6(8)4-3-5/h1-4H,[C][=C][C][=Branch1][C][=O][C][=C][C][Ring1][#Branch1][=O],large
methyl 2-chloroacetate,COC(=O)CCl,-4.0,-3.816,"InChI=1S/C3H5ClO2/c1-6-3(5)2-4/h2H2,1H3",[C][O][C][=Branch1][C][=O][C][Cl],large
butanal,CCCC=O,-3.18,-3.044,"InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3",[C][C][C][C][=O],large
ethylbenzene,CCc1ccccc1,-0.79,-0.606,"InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3",[C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],very large
"1,1,2-trichloroethylene",C(=C(Cl)Cl)Cl,-0.44,0.818,InChI=1S/C2HCl3/c3-1-2(4)5/h1H,[C][=Branch1][=Branch1][=C][Branch1][C][Cl][Cl][Cl],very large
"N,N-diethylethanamine",CCN(CC)CC,-3.22,-1.955,"InChI=1S/C6H15N/c1-4-7(5-2)6-3/h4-6H2,1-3H3",[C][C][N][Branch1][Ring1][C][C][C][C],large
"1,2,3,4,7-pentachlorodibenzo-p-dioxin",c1cc2c(cc1Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-4.15,-2.31,InChI=1S/C12H3Cl5O2/c13-4-1-2-5-6(3-4)19-12-10(17)8(15)7(14)9(16)11(12)18-5/h1-3H,[C][=C][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][Cl][O][C][=C][Branch1][P][C][=Branch1][=N][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl][O][Ring1][P],large
"3,4-dimethylpyridine",Cc1ccncc1C,-5.22,-3.201,"InChI=1S/C7H9N/c1-6-3-4-8-5-7(6)2/h3-5H,1-2H3",[C][C][=C][C][=N][C][=C][Ring1][=Branch1][C],large
cyanuric acid,c1(=O)[nH]c(=O)[nH]c(=O)[nH]1,-18.06,-21.762,"InChI=1S/C3H3N3O3/c7-1-4-2(8)6-3(9)5-1/h(H3,4,5,6,7,8,9)",[C][=Branch1][C][=O][NH1][C][=Branch1][C][=O][NH1][C][=Branch1][C][=O][NH1][Ring1][=Branch2],small
benzaldehyde,c1ccc(cc1)C=O,-4.02,-5.058,InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H,[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=O],large
2-chloropyridine,c1ccnc(c1)Cl,-4.39,-3.873,InChI=1S/C5H4ClN/c6-5-3-1-2-4-7-5/h1-4H,[C][=C][C][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl],large
3-chloroprop-1-ene,C=CCCl,-0.57,0.944,"InChI=1S/C3H5Cl/c1-2-3-4/h2H,1,3H2",[C][=C][C][Cl],very large
1-(p-tolyl)ethanone,Cc1ccc(cc1)C(=O)C,-4.7,-4.91,"InChI=1S/C9H10O/c1-7-3-5-9(6-4-7)8(2)10/h3-6H,1-2H3",[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C],large
formaldehyde,C=O,-2.75,-3.155,InChI=1S/CH2O/c1-2/h1H2,[C][=O],large
1-chloro-2-methyl-benzene,Cc1ccccc1Cl,-1.14,-0.473,"InChI=1S/C7H7Cl/c1-6-4-2-3-5-7(6)8/h2-5H,1H3",[C][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl],very large
1-pyrrolidin-1-ylethanone,CC(=O)N1CCCC1,-9.8,-7.831,"InChI=1S/C6H11NO/c1-6(8)7-4-2-3-5-7/h2-5H2,1H3",[C][C][=Branch1][C][=O][N][C][C][C][C][Ring1][Branch1],medium
"1,1,1-trimethoxyethane",CC(OC)(OC)OC,-4.42,-3.7,"InChI=1S/C5H12O3/c1-5(6-2,7-3)8-4/h1-4H3",[C][C][Branch1][Ring1][O][C][Branch1][Ring1][O][C][O][C],large
butylbenzene,CCCCc1ccccc1,-0.4,-0.227,"InChI=1S/C10H14/c1-2-3-7-10-8-5-4-6-9-10/h4-6,8-9H,2-3,7H2,1H3",[C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],very large
"N,N-dimethylaniline",CN(C)c1ccccc1,-3.45,-4.426,"InChI=1S/C8H11N/c1-9(2)8-6-4-3-5-7-8/h3-7H,1-2H3",[C][N][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],large
2-methoxypropane,CC(C)OC,-2.01,-0.657,"InChI=1S/C4H10O/c1-4(2)5-3/h4H,1-3H3",[C][C][Branch1][C][C][O][C],very large
"1,2,3,4,6,7,8,9-octachlorodibenzo-p-dioxin",c12c(c(c(c(c1Cl)Cl)Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-4.53,-1.147,InChI=1S/C12Cl8O2/c13-1-2(14)6(18)10-9(5(1)17)21-11-7(19)3(15)4(16)8(20)12(11)22-10,[C][=C][Branch1][P][C][=Branch1][=N][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl][O][C][=C][Branch1][P][C][=Branch1][=N][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl][O][Ring2][Ring1][=Branch1],large
"1,2,3,4,5-pentachloro-6-(2,3,4,5,6-pentachlorophenyl)benzene",c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c2c(c(c(c(c2Cl)Cl)Cl)Cl)Cl,-2.98,0.76,InChI=1S/C12Cl10/c13-3-1(4(14)8(18)11(21)7(3)17)2-5(15)9(19)12(22)10(20)6(2)16,[C][=Branch2][Ring1][Branch1][=C][Branch1][P][C][=Branch1][=N][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl][Cl][C][=C][Branch1][P][C][=Branch1][=N][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl][Cl],large
"1,1,2-trichloroethane",C(C(Cl)Cl)Cl,-1.99,-0.384,"InChI=1S/C2H3Cl3/c3-1-2(4)5/h2H,1H2",[C][Branch1][=Branch1][C][Branch1][C][Cl][Cl][Cl],very large
N-methylaniline,CNc1ccccc1,-4.69,-5.719,"InChI=1S/C7H9N/c1-8-7-5-3-2-4-6-7/h2-6,8H,1H3",[C][N][C][=C][C][=C][C][=C][Ring1][=Branch1],large
isopropyl acetate,CC(C)OC(=O)C,-2.64,-3.371,"InChI=1S/C5H10O2/c1-4(2)7-5(3)6/h4H,1-3H3",[C][C][Branch1][C][C][O][C][=Branch1][C][=O][C],large
benzene,c1ccccc1,-0.9,-0.806,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,[C][=C][C][=C][C][=C][Ring1][=Branch1],very large
"1,2,3-trichlorobenzene",c1cc(c(c(c1)Cl)Cl)Cl,-1.24,-0.51,InChI=1S/C6H3Cl3/c7-4-2-1-3-5(8)6(4)9/h1-3H,[C][=C][C][=Branch1][N][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][Cl][Cl],very large
4-chlorophenyl)sulfanylmethylsulfanyl-diethoxy-thioxo-$l^{5}-phosphane,CCOP(=S)(OCC)SCSc1ccc(cc1)Cl,-6.5,-7.024,"InChI=1S/C11H16ClO2PS3/c1-3-13-15(16,14-4-2)18-9-17-11-7-5-10(12)6-8-11/h5-8H,3-4,9H2,1-2H3",[C][C][O][P][=Branch1][C][=S][Branch1][Ring2][O][C][C][S][C][S][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl],large
"3-(dimethoxyphosphinothioylsulfanylmethyl)-1,2,3-benzotriazin-4-one",COP(=S)(OC)SCn1c(=O)c2ccccc2nn1,-10.03,-14.106,"InChI=1S/C10H12N3O3PS2/c1-15-17(18,16-2)19-7-13-10(14)8-5-3-4-6-9(8)11-12-13/h3-6H,7H2,1-2H3",[C][O][P][=Branch1][C][=S][Branch1][Ring1][O][C][S][C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=N][Ring1][O],medium
"1,2,4-trichlorodibenzo-p-dioxin",c1ccc2c(c1)Oc3c(cc(c(c3O2)Cl)Cl)Cl,-4.05,-3.16,InChI=1S/C12H5Cl3O2/c13-6-5-7(14)11-12(10(6)15)17-9-4-2-1-3-8(9)16-11/h1-5H,[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][=C][Branch1][S][C][=C][Branch1][O][C][=Branch1][#Branch1][=C][Ring1][=Branch1][O][Ring1][O][Cl][Cl][Cl],large
"2,3-dimethylbuta-1,3-diene",CC(=C)C(=C)C,0.4,1.862,"InChI=1S/C6H10/c1-5(2)6(3)4/h1,3H2,2,4H3",[C][C][=Branch1][C][=C][C][=Branch1][C][=C][C],very large
hex-1-ene,CCCCC=C,1.58,2.628,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3",[C][C][C][C][C][=C],very large
hydrogen sulfide,S,-0.7,-1.135,InChI=1S/H2S/h1H2,[S],very large
ethoxyethane,CCOCC,-1.59,-0.617,"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",[C][C][O][C][C],very large
"2-N-ethyl-6-(methylsulfanyl)-4-N-(propan-2-yl)-1,3,5-triazine-2,4-diamine",CCNc1nc(nc(n1)SC)NC(C)C,-7.65,-10.552,"InChI=1S/C9H17N5S/c1-5-10-7-12-8(11-6(2)3)14-9(13-7)15-4/h6H,5H2,1-4H3,(H2,10,11,12,13,14)",[C][C][N][C][=N][C][=Branch1][#Branch2][=N][C][=Branch1][Ring2][=N][Ring1][=Branch1][S][C][N][C][Branch1][C][C][C],large
butyl paraben,CCCCOC(=O)c1ccc(cc1)O,-8.72,-8.771,"InChI=1S/C11H14O3/c1-2-3-8-14-11(13)9-4-6-10(12)7-5-9/h4-7,12H,2-3,8H2,1H3",[C][C][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O],medium
hexyl acetate,CCCCCCOC(=O)C,-2.26,-2.219,"InChI=1S/C8H16O2/c1-3-4-5-6-7-10-8(2)9/h3-7H2,1-2H3",[C][C][C][C][C][C][O][C][=Branch1][C][=O][C],very large
cyclopentanone,C1CCC(=O)C1,-4.7,-3.889,InChI=1S/C5H8O/c6-5-3-1-2-4-5/h1-4H2,[C][C][C][C][=Branch1][C][=O][C][Ring1][=Branch1],large
pentanoic acid,CCCCC(=O)O,-6.16,-9.053,"InChI=1S/C5H10O2/c1-2-3-4-5(6)7/h2-4H2,1H3,(H,6,7)",[C][C][C][C][C][=Branch1][C][=O][O],large
bromoethane,CCBr,-0.74,0.487,"InChI=1S/C2H5Br/c1-2-3/h2H2,1H3",[C][C][Br],very large
"2,6-dimethylnaphthalene",Cc1ccc2cc(ccc2c1)C,-2.63,-2.848,"InChI=1S/C12H12/c1-9-3-5-12-8-10(2)4-6-11(12)7-9/h3-8H,1-2H3",[C][C][=C][C][=C][C][=C][Branch1][=Branch2][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2][C],large
hexan-1-ol,CCCCCCO,-4.4,-3.0,"InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",[C][C][C][C][C][C][O],large
1-chloro-2-phenyl-benzene,c1ccc(cc1)c2ccccc2Cl,-2.69,-2.508,InChI=1S/C12H9Cl/c13-12-9-5-4-8-11(12)10-6-2-1-3-7-10/h1-9H,[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl],large
1-methylcyclohexene,CC1=CCCCC1,0.67,1.338,"InChI=1S/C7H12/c1-7-5-3-2-4-6-7/h5H,2-4,6H2,1H3",[C][C][=C][C][C][C][C][Ring1][=Branch1],very large
hexyl nitrate,CCCCCCO[N+](=O)[O-],-1.66,-1.596,"InChI=1S/C6H13NO3/c1-2-3-4-5-6-10-7(8)9/h2-6H2,1H3",[C][C][C][C][C][C][O][N+1][=Branch1][C][=O][O-1],very large
bromoform,C(Br)(Br)Br,-2.13,-0.531,InChI=1S/CHBr3/c2-1(3)4/h1H,[C][Branch1][C][Br][Branch1][C][Br][Br],very large
4-ethylphenol,CCc1ccc(cc1)O,-6.13,-5.453,"InChI=1S/C8H10O/c1-2-7-3-5-8(9)6-4-7/h3-6,9H,2H2,1H3",[C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O],large
2-propoxyethanol,CCCOCCO,-6.4,-3.94,"InChI=1S/C5H12O2/c1-2-4-7-5-3-6/h6H,2-5H2,1H3",[C][C][C][O][C][C][O],large
phenyl formate,c1ccc(cc1)OC=O,-3.82,-5.442,InChI=1S/C7H6O2/c8-6-9-7-4-2-1-3-5-7/h1-6H,[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][=O],large
5-iodouracil,c1c(c(=O)[nH]c(=O)[nH]1)I,-18.72,-17.742,"InChI=1S/C4H3IN2O2/c5-2-1-6-4(9)7-3(2)8/h1H,(H2,6,7,8,9)",[C][=C][Branch1][=N][C][=Branch1][C][=O][NH1][C][=Branch1][C][=O][NH1][Ring1][Branch2][I],small
butyric acid,CCCC(=O)O,-6.35,-9.434,"InChI=1S/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)",[C][C][C][C][=Branch1][C][=O][O],large
"1,1,1-trifluoro-2,2,2-trimethoxyethane",COC(C(F)(F)F)(OC)OC,-0.8,-2.319,"InChI=1S/C5H9F3O3/c1-9-5(10-2,11-3)4(6,7)8/h1-3H3",[C][O][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][Branch1][Ring1][O][C][O][C],very large
